aics_Processing,centerDeltaT,PhysicalSizeY,PhysicalSizeX,aics_xTile,aics_PhysicalSizeY,aics_PhysicalSizeX,aics_Model,aics_PhysicalSizeXUnit,centerExposureTime,aics_yTile,aics_SampleName,centerPositionY,centerPositionX,centerPositionZ,Type,aics_experiment,Name,centerTheC,DimensionOrder,centerPositionZUnit,aics_SampleType,aics_PixelType,aics_cameraID,ID,aics_Type,centerTheT,PhysicalSizeXUnit,centerPositionXUnit,PhysicalSizeYUnit,aics_Manufacturer,AcquisitionDate,BigEndian,aics_filePath,aics_SizeX,aics_SizeY,aics_imageObjectPosY,aics_imageObjectPosX,aics_imageObjectPosZ,centerExposureTimeUnit,aics_barcode,aics_well,aics_PhysicalSizeYUnit,SizeX,SizeY,SizeZ,Interleaved,aics_imageAbsPosY,aics_imageAbsPosX,aics_imageAbsPosZ,SignificantBits
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_G10_0_-1.czi,1024,1024,,,,,3500000093,G10,mum,,,,,59324.0,90558.892,8376.65,
,,,,,6.5,6.5,,mum,,,BackgroundTransmitted_10x,,,,,BackgroundTransmitted_10x.czexp,,,,,background,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/BackgroundTransmitted_10x_x-500.0_y-500.0_z10.czi,1024,1024,,,,,3500000093,C6,mum,,,,,19779.345,51517.494,8640.478,
,,,,,6.5,6.5,,mum,,,BackgroundTransmitted_10x,,,,,BackgroundTransmitted_10x.czexp,,,,,background,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/BackgroundTransmitted_10x_x-500.0_y500.0_z10.czi,1024,1024,,,,,3500000093,C6,mum,,,,,20779.345,51517.494,8640.478,
,,,,,6.5,6.5,,mum,,,BackgroundTransmitted_10x,,,,,BackgroundTransmitted_10x.czexp,,,,,background,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/BackgroundTransmitted_10x_x500.0_y-500.0_z10.czi,1024,1024,,,,,3500000093,C6,mum,,,,,19779.345,52517.494,8640.478,
,,,,,6.5,6.5,,mum,,,BackgroundTransmitted_10x,,,,,BackgroundTransmitted_10x.czexp,,,,,background,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/BackgroundTransmitted_10x_x500.0_y500.0_z10.czi,1024,1024,,,,,3500000093,C6,mum,,,,,20779.345,52517.494,8640.478,
,,,,,6.5,6.5,,mum,,,BackgroundGreen_10x,,,,,BackgroundGreen_10x.czexp,,,,,background,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/BackgroundGreen_10x_x-500.0_y-500.0_z10.czi,1024,1024,,,,,3500000093,D6,mum,,,,,28766.722,51517.494,8581.833,
,,,,,6.5,6.5,,mum,,,BackgroundGreen_10x,,,,,BackgroundGreen_10x.czexp,,,,,background,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/BackgroundGreen_10x_x-500.0_y500.0_z10.czi,1024,1024,,,,,3500000093,D6,mum,,,,,29766.722,51517.494,8581.833,
,,,,,6.5,6.5,,mum,,,BackgroundGreen_10x,,,,,BackgroundGreen_10x.czexp,,,,,background,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/BackgroundGreen_10x_x500.0_y-500.0_z10.czi,1024,1024,,,,,3500000093,D6,mum,,,,,28766.722,52517.494,8581.833,
,,,,,6.5,6.5,,mum,,,BackgroundGreen_10x,,,,,BackgroundGreen_10x.czexp,,,,,background,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/BackgroundGreen_10x_x500.0_y500.0_z10.czi,1024,1024,,,,,3500000093,D6,mum,,,,,29766.722,52517.494,8581.833,
,,,,,6.5,6.5,,mum,,,D10_0002,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D10_0002_x-597.18_y-597.18_z0.czi,1024,1024,,,,,3500000093,D10,mum,,,,,26591.077,91823.816,8580.7,
